"gameid","gametype","blue","red","resulta","url","SPLIT_STR(blue,',', 1)","SPLIT_STR(blue,',', 2)","SPLIT_STR(blue,',', 3)","SPLIT_STR(blue,',', 4)","SPLIT_STR(blue,',', 5)","SPLIT_STR(red,',',1)","SPLIT_STR(red,',',2)","SPLIT_STR(red,',',3)","SPLIT_STR(red,',',4)","SPLIT_STR(red,',',5)"
"3213143289","Ranked Solo","Fiora,Rek'Sai,Karthus,Kai'Sa,Karma","Aatrox,Graves,Irelia,Caitlyn,Morgana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213143289&summonerId=56951349&gameTime=1526959593","Fiora","Rek'Sai","Karthus","Kai'Sa","Karma","Aatrox","Graves","Irelia","Caitlyn","Morgana"
"3213300482","Ranked Solo","Camille,Jax,Lulu,Kog'Maw,Janna","Gangplank,Skarner,Zoe,Kai'Sa,Soraka","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213300482&summonerId=25260179&gameTime=1526969082","Camille","Jax","Lulu","Kog'Maw","Janna","Gangplank","Skarner","Zoe","Kai'Sa","Soraka"
"3213303801","Ranked Solo","Zilean,Alistar,Camille,Xin Zhao,Kai'Sa","Jax,Braum,Kog'Maw,Vladimir,Wukong","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213303801&summonerId=56921556&gameTime=1526969773","Zilean","Alistar","Camille","Xin Zhao","Kai'Sa","Jax","Braum","Kog'Maw","Vladimir","Wukong"
"3213351188","Ranked Solo","Vladimir,Zilean,Xin Zhao,Caitlyn,Jayce","Kennen,Gragas,Ezreal,Lulu,Kha'Zix","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213351188&summonerId=56921556&gameTime=1526972050","Vladimir","Zilean","Xin Zhao","Caitlyn","Jayce","Kennen","Gragas","Ezreal","Lulu","Kha'Zix"
"3213502322","Ranked Solo","Nautilus,Lulu,Xin Zhao,Jax,Kai'Sa","Vayne,Lee Sin,Singed,Janna,Irelia","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213502322&summonerId=41913808&gameTime=1526978722","Nautilus","Lulu","Xin Zhao","Jax","Kai'Sa","Vayne","Lee Sin","Singed","Janna","Irelia"
"3213507205","Ranked Solo","Singed,Trundle,Talon,Xayah,Rakan","Irelia,Kha'Zix,Vladimir,Jhin,Shen","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213507205&summonerId=64250795&gameTime=1526980451","Singed","Trundle","Talon","Xayah","Rakan","Irelia","Kha'Zix","Vladimir","Jhin","Shen"
"3213517067","Ranked Solo","Irelia,Camille,Braum,Vladimir,Caitlyn","Janna,Ezreal,Lulu,Jax,Darius","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213517067&summonerId=41913808&gameTime=1526980381","Irelia","Camille","Braum","Vladimir","Caitlyn","Janna","Ezreal","Lulu","Jax","Darius"
"3213554014","Ranked Solo","Camille,Dr. Mundo,Kassadin,Kennen,Janna","Singed,Graves,Vladimir,Kalista,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=64250795&gameTime=1526982387","Camille","Dr. Mundo","Kassadin","Kennen","Janna","Singed","Graves","Vladimir","Kalista","Fiddlesticks"
"3213554014","Ranked Solo","Camille,Dr. Mundo,Kassadin,Kennen,Janna","Singed,Graves,Vladimir,Kalista,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=64250795&gameTime=1526982387","Camille","Dr. Mundo","Kassadin","Kennen","Janna","Singed","Graves","Vladimir","Kalista","Fiddlesticks"
"3213554014","Ranked Solo","Camille,Dr. Mundo,Kassadin,Kennen,Janna","Singed,Graves,Vladimir,Kalista,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=56951349&gameTime=1526982387","Camille","Dr. Mundo","Kassadin","Kennen","Janna","Singed","Graves","Vladimir","Kalista","Fiddlesticks"
"3213554014","Ranked Solo","Camille,Dr. Mundo,Kassadin,Kennen,Janna","Singed,Graves,Vladimir,Kalista,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=56951349&gameTime=1526982387","Camille","Dr. Mundo","Kassadin","Kennen","Janna","Singed","Graves","Vladimir","Kalista","Fiddlesticks"
