gametime,gameid,summonerid,gametype
1539862698,3386851155,41913808,Ranked Solo
1539836984,3386252015,41913808,Ranked Solo
1539753140,3385464946,41913808,Ranked Solo
1539716866,3385035762,41913808,Ranked Solo
1539619088,3383975664,41913808,Ranked Solo
1539441306,3381302476,41913808,Flex 5:5 Rank
1539433991,3381152003,41913808,Ranked Solo
1539431829,3381100807,41913808,Ranked Solo
1538808545,3371497176,41913808,Ranked Solo
1538806531,3371450456,41913808,Ranked Solo
1538803994,3371290443,41913808,Ranked Solo
1538801988,3371253566,41913808,Ranked Solo
1538762376,3370958444,41913808,Ranked Solo
1538760136,3370971310,41913808,Ranked Solo
1538758358,3370905198,41913808,Ranked Solo
1538756447,3370865966,41913808,Ranked Solo
1538753980,3370838172,41913808,Ranked Solo
1538752361,3370801800,41913808,Ranked Solo
1538750663,3370782306,41913808,Ranked Solo
1538749005,3370724841,41913808,Ranked Solo
1539790812,3386017854,54692988,Ranked Solo
1539787809,3385967558,54692988,Ranked Solo
1539785223,3385954810,54692988,Ranked Solo
1539782167,3385866659,54692988,Ranked Solo
1539779800,3385870576,54692988,Ranked Solo
1539776839,3385765168,54692988,Ranked Solo
1539774459,3385708629,54692988,Ranked Solo
1539771703,3385658580,54692988,Ranked Solo
1539769179,3385692244,54692988,Ranked Solo
1539766943,3385616320,54692988,Ranked Solo
1539764465,3385599589,54692988,Ranked Solo
1539713063,3385032127,54692988,Ranked Solo
1539711403,3384879483,54692988,Ranked Solo
1539709267,3384876375,54692988,Ranked Solo
1539707002,3384901853,54692988,Ranked Solo
1539705323,3384795123,54692988,Ranked Solo
1539702227,3384697716,54692988,Ranked Solo
1539628210,3384060743,54692988,Ranked Solo
1539626117,3384017395,54692988,Ranked Solo
1539623394,3384024788,54692988,Ranked Solo
1539917513,3387351173,57541180,ARAM
1539850786,3386377457,57541180,ARAM
1539848842,3386374617,57541180,ARAM
1539795564,3386101347,57541180,ARAM
1539777860,3385834299,57541180,ARAM
1539575281,3383078922,57541180,ARAM
1539540879,3382955735,57541180,Ranked Solo
1539538560,3382981743,57541180,Ranked Solo
1539536521,3382909062,57541180,Ranked Solo
1539533712,3382931668,57541180,Ranked Solo
1539431135,3381063098,57541180,ARAM
1539429729,3381017571,57541180,ARAM
1539349369,3379750388,57541180,ARAM
1539348104,3379682312,57541180,Ranked Solo
1539274967,3378804486,57541180,ARAM
1539150308,3377228907,57541180,Ranked Solo
1539147777,3377195435,57541180,Ranked Solo
1539145509,3377211736,57541180,Ranked Solo
1539104773,3376773170,57541180,ARAM
1539097046,3376629424,57541180,Ranked Solo
1538747371,3370653878,41913808,Ranked Solo
1538742159,3370539715,41913808,Ranked Solo
1538739583,3370469696,41913808,Ranked Solo
1538737709,3370472627,41913808,Ranked Solo
1538736099,3370434631,41913808,Ranked Solo
1538734087,3370412769,41913808,Ranked Solo
1538713922,3369823105,41913808,Ranked Solo
1538679516,3369678935,41913808,Ranked Solo
1538677104,3369695300,41913808,Ranked Solo
1538674491,3369672661,41913808,Ranked Solo
1538672856,3369649551,41913808,Ranked Solo
1538670859,3369633401,41913808,Ranked Solo
1538668002,3369579231,41913808,Ranked Solo
1538666524,3369574070,41913808,Ranked Solo
1538664806,3369535270,41913808,Ranked Solo
1538630407,3369047819,41913808,Ranked Solo
1538593187,3368518881,41913808,Ranked Solo
1538591270,3368526118,41913808,Ranked Solo
1538588492,3368513084,41913808,Ranked Solo
1538586468,3368477969,41913808,Ranked Solo
1538583639,3368464120,41913808,Ranked Solo
1538501599,3367072849,41913808,Ranked Solo
1538499711,3367006446,41913808,Ranked Solo
1538490137,3366809910,41913808,Ranked Solo
1538488191,3366748298,41913808,Ranked Solo
1538370274,3365209505,41913808,Ranked Solo
1538300721,3364503066,41913808,Ranked Solo
1538298611,3364317240,41913808,ARAM
1538297585,3364293740,41913808,ARAM
1538296585,3364247794,41913808,ARAM
1538295647,3364242947,41913808,ARAM
1538237742,3363546939,41913808,ARAM
1538236360,3363499814,41913808,ARAM
1538234642,3363483616,41913808,ARAM
1538129178,3361268412,41913808,Ranked Solo
1537964870,3359448520,41913808,ARAM
1537963320,3359437537,41913808,Flex 5:5 Rank
1537793743,3356200077,41913808,Normal
1537790722,3356150746,41913808,Normal
1537610443,3353161605,41913808,Normal
1539094222,3376620466,57541180,Ranked Solo
1539024041,3375397605,57541180,Ranked Solo
1538920626,3373823199,57541180,Ranked Solo
1538918013,3373749163,57541180,Ranked Solo
1538823858,3372014134,57541180,Ranked Solo
1538742133,3370562178,57541180,Ranked Solo
1538569621,3368182378,57541180,Ranked Solo
1538473017,3366523989,57541180,Ranked Solo
1538402414,3365831372,57541180,ARAM
1538398398,3365621751,57541180,Ranked Solo
1538312671,3364811638,57541180,Ranked Solo
1538228906,3363321230,57541180,Ranked Solo
1538136758,3361705066,57541180,Ranked Solo
1538052614,3360596559,57541180,Ranked Solo
1538049729,3360539993,57541180,ARAM
1538047796,3360489295,57541180,ARAM
1537543642,3352283125,57541180,Ranked Solo
1537541494,3352084949,57541180,Ranked Solo
1537539881,3351954558,57541180,Ranked Solo
1537468994,3351164179,57541180,Normal
1539621799,3383991778,54692988,Ranked Solo
1539590297,3383223183,54692988,Ranked Solo
1539336997,3379196923,54692988,Ranked Solo
1539333209,3379155677,54692988,Ranked Solo
1539327489,3379079845,54692988,Ranked Solo
1539282444,3378877016,54692988,Ranked Solo
1539280923,3378844244,54692988,Ranked Solo
1539170516,3377444213,54692988,Ranked Solo
1539168091,3377419395,54692988,Ranked Solo
1539166468,3377395502,54692988,Ranked Solo
1539161424,3377352684,54692988,Ranked Solo
1539159232,3377336346,54692988,Ranked Solo
1539153327,3377243992,54692988,Ranked Solo
1539111426,3376840680,54692988,Ranked Solo
1539107276,3376796054,54692988,Ranked Solo
1539105502,3376791525,54692988,Ranked Solo
1539102800,3376718047,54692988,Ranked Solo
1539100003,3376710128,54692988,Ranked Solo
1539096950,3376653592,54692988,Ranked Solo
1539094224,3376621988,54692988,Ranked Solo
1537608904,3353122937,41913808,Flex 5:5 Rank
1537606779,3353065528,41913808,Flex 5:5 Rank
1537605028,3353027531,41913808,Flex 5:5 Rank
1537472634,3351166816,41913808,Normal
1537470375,3351155297,41913808,Normal
1537468747,3351163179,41913808,ARAM
1537466995,3351171330,41913808,ARAM
1537465687,3351139841,41913808,ARAM
1537380230,3350021722,41913808,ARAM
1537377987,3349965816,41913808,Ranked Solo
1537374807,3349939005,41913808,Ranked Solo
1537371703,3349912817,41913808,Ranked Solo
1537369568,3349876519,41913808,Ranked Solo
1537367568,3349890171,41913808,Ranked Solo
1537365130,3349769402,41913808,Ranked Solo
1537346909,3349484374,41913808,Ranked Solo
1537345037,3349429845,41913808,Ranked Solo
1537297793,3348858544,41913808,Ranked Solo
1537295088,3348845164,41913808,Ranked Solo
1537250176,3348044812,41913808,Ranked Solo
1537467790,3351152350,57541180,Flex 3:3 Rank
1537466266,3351190463,57541180,ARAM
1537464975,3351148227,57541180,ODYSSEY: EXTRACTION
1537463768,3351104927,57541180,Ranked Solo
1537461703,3351069145,57541180,Ranked Solo
1537458988,3351064159,57541180,ARAM
1537452392,3350972114,57541180,ARAM
1537430836,3350275193,57541180,ARAM
1537418981,3350191768,57541180,ARAM
1537417576,3350160389,57541180,ARAM
1537344368,3349439310,57541180,ARAM
1537334601,3349167543,57541180,ARAM
1537333132,3349295764,57541180,ARAM
1537278585,3348501005,57541180,Ranked Solo
1537276611,3348413522,57541180,Ranked Solo
1537274543,3348393956,57541180,Ranked Solo
1537272285,3348333549,57541180,Ranked Solo
1537196946,3347750048,57541180,ARAM
1537191798,3347614759,57541180,Ranked Solo
1537099664,3346288989,57541180,Ranked Solo
1537214812,3347868439,41913808,Ranked Solo
1537211591,3347886091,41913808,Ranked Solo
1537208006,3347892549,41913808,Ranked Solo
1537206036,3347849334,41913808,Ranked Solo
1537192812,3347647737,41913808,Ranked Solo
1537177252,3347199400,41913808,Ranked Solo
1537175276,3347192665,41913808,Ranked Solo
1537173298,3347014630,41913808,Ranked Solo
1537167808,3346925460,41913808,Special Mode
1537166754,3346923928,41913808,Special Mode
1537156425,3346856944,41913808,Special Mode
1537125389,3346745127,41913808,Ranked Solo
1537121606,3346713239,41913808,Ranked Solo
1537118825,3346696570,41913808,Ranked Solo
1537116441,3346691889,41913808,Ranked Solo
1537113865,3346617535,41913808,Ranked Solo
1537110677,3346595612,41913808,Ranked Solo
1537073869,3345701748,41913808,Special Mode
1537072927,3345647626,41913808,Special Mode
1537036582,3345047021,41913808,Ranked Solo
1537004476,3344239951,57541180,Ranked Solo
1536983531,3343751568,57541180,Special Mode
1536982362,3343578110,57541180,Special Mode
1536981183,3343603403,57541180,Special Mode
