gametime,gameid,summonerid,gametype
1540129345,3391270255,64250795,Ranked Solo
1540126069,3391208277,64250795,Ranked Solo
1539754228,3385466569,64250795,Ranked Solo
1539752443,3385483872,64250795,Ranked Solo
1539342438,3379573781,64250795,Ranked Solo
1539326388,3379037438,64250795,Ranked Solo
1539284257,3378877925,64250795,Ranked Solo
1538978485,3374345723,64250795,Ranked Solo
1538976310,3374330528,64250795,Ranked Solo
1538803994,3371290443,64250795,Ranked Solo
1538672553,3369619200,64250795,Ranked Solo
1538550292,3367779125,64250795,Ranked Solo
1538547776,3367772426,64250795,Ranked Solo
1538473185,3366522780,64250795,Ranked Solo
1538464080,3366401610,64250795,Ranked Solo
1538462492,3366366650,64250795,Ranked Solo
1538460384,3366342572,64250795,Ranked Solo
1538458073,3366315878,64250795,Ranked Solo
1538454723,3366323083,64250795,Ranked Solo
1538390861,3365485575,64250795,Ranked Solo
1540119563,3391034198,36990696,Ranked Solo
1539958617,3388270134,36990696,Ranked Solo
1539956404,3388169723,36990696,Ranked Solo
1539868644,3386986398,36990696,Ranked Solo
1539788689,3386004051,36990696,ARAM
1539787478,3385989263,36990696,ARAM
1539784651,3385928143,36990696,Ranked Solo
1539706074,3384818845,36990696,ARAM
1539704280,3384795998,36990696,ARAM
1539693869,3384494400,36990696,Ranked Solo
1539618526,3383982966,36990696,ARAM
1539616493,3383940517,36990696,ARAM
1539533382,3382922501,36990696,Ranked Solo
1539526128,3382777603,36990696,Ranked Solo
1539436990,3381205708,36990696,Ranked Solo
1539348421,3379694397,36990696,Ranked Solo
1539200306,3377808499,36990696,ARAM
1539179166,3377615287,36990696,Ranked Solo
1539177202,3377577538,36990696,Ranked Solo
1539117878,3376806870,36990696,ARAM
1540150693,3391543457,25260179,Ranked Solo
1540148466,3391522696,25260179,Ranked Solo
1540147013,3391469763,25260179,Ranked Solo
1540143257,3391474263,25260179,Ranked Solo
1540139753,3391427339,25260179,Ranked Solo
1540137287,3391413114,25260179,Ranked Solo
1540134899,3391395118,25260179,Ranked Solo
1540133235,3391329919,25260179,Ranked Solo
1540131583,3391351644,25260179,Ranked Solo
1540129683,3391285756,25260179,Ranked Solo
1540128221,3391249339,25260179,Ranked Solo
1540126321,3391230879,25260179,Ranked Solo
1540125119,3391160749,25260179,Ranked Solo
1540123169,3391106262,25260179,Ranked Solo
1539976642,3388509645,25260179,Normal
1539975016,3388486439,25260179,Ranked Solo
1539972016,3388491339,25260179,Ranked Solo
1539967011,3388394721,25260179,Ranked Solo
1539964712,3388365508,25260179,Ranked Solo
1539962445,3388306366,25260179,Ranked Solo
1539862698,3386851155,41913808,Ranked Solo
1539836984,3386252015,41913808,Ranked Solo
1539753140,3385464946,41913808,Ranked Solo
1539716866,3385035762,41913808,Ranked Solo
1539619088,3383975664,41913808,Ranked Solo
1539441306,3381302476,41913808,Flex 5:5 Rank
1539433991,3381152003,41913808,Ranked Solo
1539431829,3381100807,41913808,Ranked Solo
1538808545,3371497176,41913808,Ranked Solo
1538806531,3371450456,41913808,Ranked Solo
1538803994,3371290443,41913808,Ranked Solo
1538801988,3371253566,41913808,Ranked Solo
1538762376,3370958444,41913808,Ranked Solo
1538760136,3370971310,41913808,Ranked Solo
1538758358,3370905198,41913808,Ranked Solo
1538756447,3370865966,41913808,Ranked Solo
1538753980,3370838172,41913808,Ranked Solo
1538752361,3370801800,41913808,Ranked Solo
1538750663,3370782306,41913808,Ranked Solo
1538749005,3370724841,41913808,Ranked Solo
1540134579,3391366235,57541180,ARAM
1540117485,3390995416,57541180,Ranked Solo
1540113602,3390943668,57541180,ARAM
1540042423,3389628670,57541180,Ranked Solo
1540030030,3389235623,57541180,ARAM
1540028722,3389260646,57541180,ARAM
1539972042,3388501537,57541180,ARAM
1539970547,3388478623,57541180,ARAM
1539917513,3387351173,57541180,ARAM
1539850786,3386377457,57541180,ARAM
1539848842,3386374617,57541180,ARAM
1539795564,3386101347,57541180,ARAM
1539777860,3385834299,57541180,ARAM
1539575281,3383078922,57541180,ARAM
1539540879,3382955735,57541180,Ranked Solo
1539538560,3382981743,57541180,Ranked Solo
1539536521,3382909062,57541180,Ranked Solo
1539533712,3382931668,57541180,Ranked Solo
1539431135,3381063098,57541180,ARAM
1539429729,3381017571,57541180,ARAM
1540148994,3391511995,56951349,Normal
1540146280,3391489474,56951349,Normal
1540144334,3391477343,56951349,Normal
1540136924,3391422165,56951349,Ranked Solo
1540135306,3391376232,56951349,Ranked Solo
1540133323,3391318140,56951349,Ranked Solo
1540131104,3391311582,56951349,Ranked Solo
1540129291,3391261072,56951349,Ranked Solo
1540114866,3390954047,56951349,Ranked Solo
1540112179,3390863710,56951349,Ranked Solo
1540109648,3390823734,56951349,Ranked Solo
1540107606,3390643257,56951349,Ranked Solo
1540059584,3390060981,56951349,ARAM
1540057865,3389997668,56951349,ARAM
1540056380,3389992245,56951349,ARAM
1540054580,3389938214,56951349,ARAM
1540052886,3389919346,56951349,Ranked Solo
1540050740,3389912601,56951349,Ranked Solo
1540049328,3389863009,56951349,Ranked Solo
1540046540,3389802587,56951349,Ranked Solo
1540139979,3391438997,74750546,Ranked Solo
1540136669,3391409464,74750546,Ranked Solo
1540123438,3391133790,74750546,Ranked Solo
1540121183,3391074036,74750546,Normal
1540117314,3390979162,74750546,ARAM
1540111930,3390798823,74750546,Ranked Solo
1540044321,3389719755,74750546,Ranked Solo
1539930899,3387398827,74750546,Ranked Solo
1539927791,3387412219,74750546,Ranked Solo
1539883296,3387224379,74750546,Ranked Solo
1539878942,3387164230,74750546,Ranked Solo
1539874439,3387131006,74750546,Ranked Solo
1539869706,3386993491,74750546,ARAM
1539867363,3386970017,74750546,Ranked Solo
1539863159,3386844475,74750546,Ranked Solo
1539842906,3386300588,74750546,Ranked Solo
1539840982,3386258654,74750546,Ranked Solo
1539839007,3386254522,74750546,Ranked Solo
1539836815,3386281301,74750546,Ranked Solo
1539834697,3386218980,74750546,Ranked Solo
1539982448,3388535466,54692988,Normal
1539980733,3388553790,54692988,Normal
1539979013,3388541659,54692988,Normal
1539790812,3386017854,54692988,Ranked Solo
1539787809,3385967558,54692988,Ranked Solo
1539785223,3385954810,54692988,Ranked Solo
1539782167,3385866659,54692988,Ranked Solo
1539779800,3385870576,54692988,Ranked Solo
1539776839,3385765168,54692988,Ranked Solo
1539774459,3385708629,54692988,Ranked Solo
1539771703,3385658580,54692988,Ranked Solo
1539769179,3385692244,54692988,Ranked Solo
1539766943,3385616320,54692988,Ranked Solo
1539764465,3385599589,54692988,Ranked Solo
1539713063,3385032127,54692988,Ranked Solo
1539711403,3384879483,54692988,Ranked Solo
1539709267,3384876375,54692988,Ranked Solo
1539707002,3384901853,54692988,Ranked Solo
1539705323,3384795123,54692988,Ranked Solo
1539702227,3384697716,54692988,Ranked Solo
1539860862,3386804901,66800151,Ranked Solo
1539671465,3384192538,66800151,Ranked Solo
1539605371,3383676084,66800151,Ranked Solo
1539414955,3380426626,66800151,Ranked Solo
1539360131,3379930873,66800151,Ranked Solo
1539357243,3379893146,66800151,Ranked Solo
1539355360,3379861151,66800151,Ranked Solo
1539352234,3379757069,66800151,Ranked Solo
1539336705,3379214855,66800151,Ranked Solo
1539334374,3379211096,66800151,Ranked Solo
1539333007,3379162775,66800151,Ranked Solo
1539061529,3375637929,66800151,Ranked Solo
1539059383,3375621405,66800151,Ranked Solo
1539057123,3375565339,66800151,Ranked Solo
1538486400,3366739746,66800151,Ranked Solo
1538454723,3366323083,66800151,Ranked Solo
1538397710,3365632557,66800151,Ranked Solo
1538396208,3365594606,66800151,Ranked Solo
1538394220,3365516680,66800151,Ranked Solo
1538391801,3365520155,66800151,Ranked Solo
1539947096,3387701144,56921556,Ranked Solo
1539945754,3387643136,56921556,Ranked Solo
1539837210,3386292057,56921556,Ranked Solo
1539833201,3386237707,56921556,Ranked Solo
1539691702,3384447991,56921556,Ranked Solo
1539689030,3384398961,56921556,Ranked Solo
1539686220,3384378545,56921556,Ranked Solo
1539599558,3383358198,56921556,Ranked Solo
1539518454,3382630750,56921556,Ranked Solo
1539364951,3380009959,56921556,Ranked Solo
1539349526,3379740420,56921556,Ranked Solo
1539249687,3378394088,56921556,Ranked Solo
1539169641,3377453341,56921556,Ranked Solo
1539084055,3376381055,56921556,Ranked Solo
1538995812,3374835206,56921556,Ranked Solo
1538903073,3373461668,56921556,Ranked Solo
1538814401,3371784331,56921556,Ranked Solo
1538658793,3369434919,56921556,Ranked Solo
1538649605,3369280344,56921556,Ranked Solo
1538563467,3368076933,56921556,Ranked Solo
1539957565,3388204298,25260179,Ranked Solo
1539954085,3388127339,25260179,Ranked Solo
1539951311,3387825106,25260179,Ranked Solo
1539932139,3387452248,25260179,Normal
1539929515,3387397204,25260179,Normal
1539798112,3386113114,25260179,Ranked Solo
1539795609,3386088125,25260179,Ranked Solo
1539793031,3386063873,25260179,Ranked Solo
1539790812,3386017854,25260179,Ranked Solo
1539787809,3385967558,25260179,Ranked Solo
1539785223,3385954810,25260179,Ranked Solo
1539782167,3385866659,25260179,Ranked Solo
1539779800,3385870576,25260179,Ranked Solo
1539776839,3385765168,25260179,Ranked Solo
1539774459,3385708629,25260179,Ranked Solo
1539771703,3385658580,25260179,Ranked Solo
1539769179,3385692244,25260179,Ranked Solo
1539766943,3385616320,25260179,Ranked Solo
1539764465,3385599589,25260179,Ranked Solo
1539713063,3385032127,25260179,Ranked Solo
1539349369,3379750388,57541180,ARAM
1539348104,3379682312,57541180,Ranked Solo
1539274967,3378804486,57541180,ARAM
1539150308,3377228907,57541180,Ranked Solo
1539147777,3377195435,57541180,Ranked Solo
1539145509,3377211736,57541180,Ranked Solo
1539104773,3376773170,57541180,ARAM
1539097046,3376629424,57541180,Ranked Solo
1539094222,3376620466,57541180,Ranked Solo
1539024041,3375397605,57541180,Ranked Solo
1538920626,3373823199,57541180,Ranked Solo
1538918013,3373749163,57541180,Ranked Solo
1538823858,3372014134,57541180,Ranked Solo
1538742133,3370562178,57541180,Ranked Solo
1538569621,3368182378,57541180,Ranked Solo
1538473017,3366523989,57541180,Ranked Solo
1538402414,3365831372,57541180,ARAM
1538398398,3365621751,57541180,Ranked Solo
1538312671,3364811638,57541180,Ranked Solo
1538228906,3363321230,57541180,Ranked Solo
1538388700,3365480417,64250795,Ranked Solo
1538386145,3365423455,64250795,Ranked Solo
1538383963,3365384743,64250795,Ranked Solo
1538144801,3361895086,64250795,Ranked Solo
1538136636,3361702852,64250795,Ranked Solo
1538130315,3361382324,64250795,Ranked Solo
1538125825,3361230910,64250795,Ranked Solo
1538118469,3361119067,64250795,Ranked Solo
1538116570,3361096934,64250795,Ranked Solo
1538070231,3360912090,64250795,Ranked Solo
1538067207,3360836619,64250795,Ranked Solo
1538048773,3360540995,64250795,Ranked Solo
1538045806,3360457484,64250795,Ranked Solo
1538041583,3360429628,64250795,Ranked Solo
1538039782,3360385616,64250795,Ranked Solo
1538038256,3360384384,64250795,Ranked Solo
1538035081,3360353059,64250795,Ranked Solo
1538029471,3360290405,64250795,Ranked Solo
1538026344,3360246085,64250795,Ranked Solo
1538024605,3360263059,64250795,Ranked Solo
1539091910,3376582290,36990696,Ranked Solo
1539005253,3375046992,36990696,Ranked Solo
1538852562,3372616270,36990696,Ranked Solo
1538829007,3372099191,36990696,ARAM
1538827088,3372075429,36990696,Ranked Solo
1538750028,3370709619,36990696,ARAM
1538747532,3370656532,36990696,Ranked Solo
1538646119,3369232107,36990696,Ranked Solo
1538578388,3368390008,36990696,ARAM
1538577036,3368375033,36990696,ARAM
1538560700,3367993910,36990696,Ranked Solo
1538485775,3366736019,36990696,Ranked Solo
1538426338,3366195341,36990696,ARAM
1538322974,3365003286,36990696,Ranked Solo
1537905390,3358370135,36990696,ARAM
1537464920,3351116948,36990696,Ranked Solo
1537459406,3351065402,36990696,Ranked Solo
1537450120,3350884734,36990696,Ranked Solo
1537447097,3350794421,36990696,Ranked Solo
1537438283,3350381932,36990696,Ranked Solo
1538375999,3365288309,66800151,Ranked Solo
1538373297,3365294132,66800151,Ranked Solo
1538315007,3364884210,66800151,Ranked Solo
1538051209,3360591443,66800151,Ranked Solo
1538048773,3360540995,66800151,Ranked Solo
1538046275,3360512972,66800151,Ranked Solo
1537956774,3359259747,66800151,Ranked Solo
1537192812,3347647737,66800151,Ranked Solo
1537189519,3347571964,66800151,Ranked Solo
1537186416,3347489955,66800151,Ranked Solo
1537183382,3347438696,66800151,Ranked Solo
