oneTeam,url,two,twoTeam,one
"Gangplank,Camille,Syndra,Lucian,Fiddlesticks",http://www.op.gg/summoner/matches/ajax/detail/gameId=3383975664&summonerId=41913808&gameTime=1539619088,(Red Team),"Ryze,Kindred,Lissandra,Kai'Sa,Poppy",(Blue Team)
"Renekton,Xin Zhao,Akali,Lucian,Leona",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386851155&summonerId=41913808&gameTime=1539862698,(Red Team),"Irelia,Gragas,Malzahar,Xayah,Rakan",(Blue Team)
"Maokai,Evelynn,Irelia,Ezreal,Lux",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381302476&summonerId=41913808&gameTime=1539441306,(Blue Team),"Nasus,Lee Sin,Yasuo,Lucian,Zilean",(Red Team)
"Poppy,Gragas,Yasuo,Tristana,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386252015&summonerId=41913808&gameTime=1539836984,(Blue Team),"Darius,Lee Sin,Ryze,Kai'Sa,Alistar",(Red Team)
"Camille,Swain,Kalista,Thresh,Jarvan IV",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381152003&summonerId=41913808&gameTime=1539433991,(Blue Team),"Rengar,Irelia,Ryze,Twitch,Morgana",(Red Team)
"Renekton,Lee Sin,Yasuo,Ezreal,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3371497176&summonerId=41913808&gameTime=1538808545,(Red Team),"Poppy,Nidalee,Veigar,Xayah,Leona",(Blue Team)
"Xayah,LeBlanc,Leona,Gragas,Jayce",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381100807&summonerId=41913808&gameTime=1539431829,(Blue Team),"Shen,Syndra,Camille,Ezreal,Aatrox",(Red Team)
"Kai'Sa,Lux,Lee Sin,LeBlanc,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385035762&summonerId=41913808&gameTime=1539716866,(Blue Team),"Lucian,Camille,Gragas,Thresh,Aatrox",(Red Team)
"Poppy,Lee Sin,Yasuo,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3371450456&summonerId=41913808&gameTime=1538806531,(Blue Team),"Darius,Nidalee,Twisted Fate,Kai'Sa,Leona",(Red Team)
"Jayce,Taliyah,Irelia,Lucian,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3371253566&summonerId=41913808&gameTime=1538801988,(Red Team),"Aatrox,Nidalee,Karma,Jinx,Nami",(Blue Team)
