url,two,one,oneTeam,result,twoTeam
http://www.op.gg/summoner/matches/ajax/detail/gameId=3391270255&summonerId=64250795&gameTime=1540129345,(Blue Team),(Red Team),"Gangplank,Camille,Aatrox,Ezreal,Rakan",Defeat,"Ryze,Nocturne,Malzahar,Xayah,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3378877925&summonerId=64250795&gameTime=1539284257,(Blue Team),(Red Team),"Jax,Gragas,Irelia,Xayah,Rakan",Victory,"Ryze,Lee Sin,LeBlanc,Kai'Sa,Braum"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3379573781&summonerId=64250795&gameTime=1539342438,(Red Team),(Blue Team),"Aatrox,Gragas,Aurelion Sol,Lucian,Braum",Defeat,"Renekton,Taliyah,Ryze,Xayah,Rakan"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3391208277&summonerId=64250795&gameTime=1540126069,(Blue Team),(Red Team),"Ryze,Camille,Gragas,Jhin,Thresh",Defeat,"Jax,Nidalee,LeBlanc,Xayah,Rakan"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3374345723&summonerId=64250795&gameTime=1538978485,(Blue Team),(Red Team),"Gragas,Ryze,Fiddlesticks,Lucian,Irelia",Victory,"Urgot,Tristana,Taliyah,Aatrox,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3385466569&summonerId=64250795&gameTime=1539754228,(Blue Team),(Red Team),"Aatrox,Xin Zhao,Kassadin,Lucian,Alistar",Defeat,"Maokai,Gragas,Ekko,Yasuo,Janna"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3367779125&summonerId=64250795&gameTime=1538550292,(Blue Team),(Red Team),"Fiora,Gragas,Irelia,Ezreal,Pyke",Defeat,"Aatrox,Taliyah,Lissandra,Lucian,Rakan"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3371290443&summonerId=64250795&gameTime=1538803994,(Red Team),(Blue Team),"Urgot,Gragas,Twisted Fate,Kog'Maw,Braum",Defeat,"Renekton,Nidalee,Irelia,Lucian,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3374330528&summonerId=64250795&gameTime=1538976310,(Blue Team),(Red Team),"Sion,Lee Sin,LeBlanc,Kai'Sa,Rakan",Defeat,"Urgot,Evelynn,Zoe,Xayah,Gragas"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3367772426&summonerId=64250795&gameTime=1538547776,(Blue Team),(Red Team),"Gragas,Olaf,Darius,Heimerdinger,Karthus",Victory,"Ryze,Poppy,Alistar,Vladimir,Kindred"
