oneTeam,url,two,twoTeam,one
"Gangplank,Camille,Aatrox,Ezreal,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3391270255&summonerId=64250795&gameTime=1540129345,(Blue Team),"Ryze,Nocturne,Malzahar,Xayah,Thresh",(Red Team)
"Sion,Camille,Syndra,Lucian,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3379037438&summonerId=64250795&gameTime=1539326388,(Red Team),"Jax,Xin Zhao,Ryze,Tristana,Thresh",(Blue Team)
"Aatrox,Xin Zhao,LeBlanc,Lucian,Nautilus",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385483872&summonerId=64250795&gameTime=1539752443,(Red Team),"Poppy,Taliyah,Fizz,Tristana,Thresh",(Blue Team)
"Gragas,Ryze,Fiddlesticks,Lucian,Irelia",http://www.op.gg/summoner/matches/ajax/detail/gameId=3374345723&summonerId=64250795&gameTime=1538978485,(Blue Team),"Urgot,Tristana,Taliyah,Aatrox,Alistar",(Red Team)
"Sion,Lee Sin,LeBlanc,Kai'Sa,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3374330528&summonerId=64250795&gameTime=1538976310,(Blue Team),"Urgot,Evelynn,Zoe,Xayah,Gragas",(Red Team)
"Aatrox,Gragas,Aurelion Sol,Lucian,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3379573781&summonerId=64250795&gameTime=1539342438,(Red Team),"Renekton,Taliyah,Ryze,Xayah,Rakan",(Blue Team)
"Urgot,Gragas,Yasuo,Kai'Sa,Shen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369619200&summonerId=64250795&gameTime=1538672553,(Blue Team),"Ornn,Evelynn,Twisted Fate,Tristana,Thresh",(Red Team)
"Jax,Gragas,Irelia,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3378877925&summonerId=64250795&gameTime=1539284257,(Blue Team),"Ryze,Lee Sin,LeBlanc,Kai'Sa,Braum",(Red Team)
"Urgot,Gragas,Twisted Fate,Kog'Maw,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3371290443&summonerId=64250795&gameTime=1538803994,(Red Team),"Renekton,Nidalee,Irelia,Lucian,Alistar",(Blue Team)
"Aatrox,Xin Zhao,Kassadin,Lucian,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385466569&summonerId=64250795&gameTime=1539754228,(Blue Team),"Maokai,Gragas,Ekko,Yasuo,Janna",(Red Team)
"Fiora,Gragas,Irelia,Ezreal,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3367779125&summonerId=64250795&gameTime=1538550292,(Blue Team),"Aatrox,Taliyah,Lissandra,Lucian,Rakan",(Red Team)
"Gragas,Olaf,Darius,Heimerdinger,Karthus",http://www.op.gg/summoner/matches/ajax/detail/gameId=3367772426&summonerId=64250795&gameTime=1538547776,(Blue Team),"Ryze,Poppy,Alistar,Vladimir,Kindred",(Red Team)
"Evelynn,Lucian,Irelia,Alistar,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366401610&summonerId=64250795&gameTime=1538464080,(Blue Team),"Gragas,Xin Zhao,Swain,Kai'Sa,Viktor",(Red Team)
"Kai'Sa,Jax,Fizz,Skarner,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366342572&summonerId=64250795&gameTime=1538460384,(Red Team),"Kennen,Syndra,Nidalee,Thresh,Jinx",(Blue Team)
"Thresh,Olaf,Kai'Sa,Jayce,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366323083&summonerId=64250795&gameTime=1538454723,(Red Team),"Gragas,Xayah,Lulu,Irelia,Tahm Kench",(Blue Team)
"Gangplank,Camille,Galio,Jhin,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3365485575&summonerId=64250795&gameTime=1538390861,(Blue Team),"Jax,Taliyah,Twisted Fate,Yasuo,Alistar",(Red Team)
"Lissandra,Gragas,Talon,Kai'Sa,Nautilus",http://www.op.gg/summoner/matches/ajax/detail/gameId=3391034198&summonerId=36990696&gameTime=1540119563,(Red Team),"Kassadin,Zac,Sion,Yasuo,Rakan",(Blue Team)
"Sion,Nidalee,LeBlanc,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3388270134&summonerId=36990696&gameTime=1539958617,(Red Team),"Urgot,Taliyah,Kassadin,Ezreal,Alistar",(Blue Team)
"Yasuo,Gragas,Lissandra,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386986398&summonerId=36990696&gameTime=1539868644,(Blue Team),"Lee Sin,Zoe,Aatrox,Pyke,Kai'Sa",(Red Team)
"Alistar,Lucian,Fiora,Lee Sin,Vladimir",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366522780&summonerId=64250795&gameTime=1538473185,(Blue Team),"Irelia,Ezreal,Nidalee,Aatrox,Tahm Kench",(Red Team)
"Lucian,Irelia,Skarner,Gragas,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366366650&summonerId=64250795&gameTime=1538462492,(Red Team),"Darius,Lulu,Kai'Sa,Graves,LeBlanc",(Blue Team)
"Kayn,Aurelion Sol,Xayah,Urgot,Ryze",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385989263&summonerId=36990696&gameTime=1539787478,(Red Team),"Zyra,Master Yi,Lissandra,LeBlanc,Vel'Koz",(Blue Team)
"Urgot,Taliyah,Ryze,Lucian,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385928143&summonerId=36990696&gameTime=1539784651,(Red Team),"Tahm Kench,Xin Zhao,Aatrox,Yasuo,Alistar",(Blue Team)
"Akali,Diana,Camille,Sejuani,Corki",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384795998&summonerId=36990696&gameTime=1539704280,(Red Team),"Cho'Gath,Zilean,Wukong,Fiddlesticks,Brand",(Blue Team)
"Twisted Fate,Kindred,Urgot,Thresh,Lucian",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384494400&summonerId=36990696&gameTime=1539693869,(Red Team),"Ezreal,Darius,LeBlanc,Lee Sin,Alistar",(Blue Team)
"Taliyah,Lux,Kennen,Singed,Viktor",http://www.op.gg/summoner/matches/ajax/detail/gameId=3383982966&summonerId=36990696&gameTime=1539618526,(Red Team),"Veigar,Lee Sin,Sivir,Tristana,Maokai",(Blue Team)
"Skarner,Ryze,Thresh,Volibear,Draven",http://www.op.gg/summoner/matches/ajax/detail/gameId=3383940517&summonerId=36990696&gameTime=1539616493,(Red Team),"Yorick,Lux,Fiddlesticks,Aatrox,Darius",(Blue Team)
"Lucian,Veigar,Urgot,Blitzcrank,Zed",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384818845&summonerId=36990696&gameTime=1539706074,(Red Team),"Gangplank,LeBlanc,Maokai,Brand,Vel'Koz",(Blue Team)
"Xayah,Galio,Camille,Leona,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3388169723&summonerId=36990696&gameTime=1539956404,(Red Team),"Lee Sin,Syndra,Kai'Sa,Rakan,Fiora",(Blue Team)
"Singed,Volibear,Aatrox,Camille,Tristana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381205708&summonerId=36990696&gameTime=1539436990,(Red Team),"Xin Zhao,Alistar,Quinn,Kai'Sa,Ryze",(Blue Team)
"Malzahar,Aatrox,Taliyah,Rakan,Xayah",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382777603&summonerId=36990696&gameTime=1539526128,(Red Team),"Zed,Rumble,Draven,Gragas,Thresh",(Blue Team)
"Shen,Miss Fortune,Nasus,Sion,Galio",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377808499&summonerId=36990696&gameTime=1539200306,(Blue Team),"Azir,Kog'Maw,Lee Sin,Kalista,Janna",(Red Team)
"Sion,Gragas,Syndra,Kai'Sa,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382922501&summonerId=36990696&gameTime=1539533382,(Blue Team),"Urgot,Taliyah,Jayce,Ezreal,Rakan",(Red Team)
"Lissandra,Taliyah,Irelia,Kai'Sa,Shen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377615287&summonerId=36990696&gameTime=1539179166,(Blue Team),"Urgot,Gragas,Vladimir,Xayah,Alistar",(Red Team)
"Camille,Singed,Ezreal,Thresh,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377577538&summonerId=36990696&gameTime=1539177202,(Red Team),"Xin Zhao,Lucian,Urgot,Syndra,Alistar",(Blue Team)
"Zoe,Vayne,Leona,Ryze,Yasuo",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386004051&summonerId=36990696&gameTime=1539788689,(Blue Team),"Teemo,Soraka,Lulu,Kai'Sa,Maokai",(Red Team)
"Ryze,Camille,Gragas,Jhin,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3391208277&summonerId=64250795&gameTime=1540126069,(Blue Team),"Jax,Nidalee,LeBlanc,Xayah,Rakan",(Red Team)
"Urgot,Taliyah,LeBlanc,Xayah,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3379694397&summonerId=36990696&gameTime=1539348421,(Blue Team),"Ryze,Gragas,Zoe,Kai'Sa,Pyke",(Red Team)
